cable_name,segment_id,segment_start_km,segment_end_km,depth_m,attenuation_db_km,osnr_db,bit_error_rate,anomaly_flag,last_test_date
EURASIA-1,EURASIA-1-SEG001,0,500,900.0,0.1778,18.27,5e-12,False,2026-06-17
EURASIA-1,EURASIA-1-SEG002,500,1000,4204.0,0.1815,18.76,8.4e-11,False,2026-06-12
EURASIA-1,EURASIA-1-SEG003,1000,1500,554.0,0.1893,17.76,2.5e-12,False,2026-06-07
EURASIA-1,EURASIA-1-SEG004,1500,2000,1414.0,0.1836,15.74,4e-10,False,2026-06-05
EURASIA-1,EURASIA-1-SEG005,2000,2500,2883.0,0.1893,17.31,5.1e-12,False,2026-05-28
EURASIA-1,EURASIA-1-SEG006,2500,3000,3286.0,0.1844,17.35,2.9e-10,False,2026-05-27
EURASIA-1,EURASIA-1-SEG007,3000,3500,1762.0,0.1841,18.44,2.7e-11,False,2026-06-18
EURASIA-1,EURASIA-1-SEG008,3500,4000,2099.0,0.1934,19.56,5e-10,False,2026-05-29
EURASIA-1,EURASIA-1-SEG009,4000,4500,704.0,0.1969,19.72,4.5e-10,False,2026-06-03
EURASIA-1,EURASIA-1-SEG010,4500,5000,940.0,0.1806,16.84,5.6e-11,False,2026-06-18
EURASIA-1,EURASIA-1-SEG011,5000,5500,2265.0,0.1851,18.65,1.8e-12,False,2026-06-07
EURASIA-1,EURASIA-1-SEG012,5500,6000,1087.0,0.1817,17.92,3.3e-11,False,2026-06-04
EURASIA-1,EURASIA-1-SEG013,6000,6500,1206.0,0.1725,19.32,1.9e-12,False,2026-06-20
EURASIA-1,EURASIA-1-SEG014,6500,7000,2508.0,0.1821,19.41,6.3e-12,False,2026-06-10
EURASIA-1,EURASIA-1-SEG015,7000,7500,5590.0,0.1952,20.44,7.2e-13,False,2026-06-18
EURASIA-1,EURASIA-1-SEG016,7500,8000,1285.0,0.1812,16.33,2.9e-10,False,2026-06-24
EURASIA-1,EURASIA-1-SEG017,8000,8500,866.0,0.1774,19.46,2.2e-13,False,2026-05-31
EURASIA-1,EURASIA-1-SEG018,8500,9000,2991.0,0.1817,18.56,2.1e-12,False,2026-06-25
EURASIA-1,EURASIA-1-SEG019,9000,9500,568.0,0.182,19.41,7.1e-10,False,2026-06-16
EURASIA-1,EURASIA-1-SEG020,9500,10000,3655.0,0.1726,17.54,8.4e-11,False,2026-06-06
EURASIA-1,EURASIA-1-SEG021,10000,10500,5018.0,0.1858,18.61,1.5e-12,False,2026-06-21
EURASIA-1,EURASIA-1-SEG022,10500,11000,4498.0,0.1908,18.81,7.4e-13,False,2026-06-09
